"Image type","Feature Class","Feature Name","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_203","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_204","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_205","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_206","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_208","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_209","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_210","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_211","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_212","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_214","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_215","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_226","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7001","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7003","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7005","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7006","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7007","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7008","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7009","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7010","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7015"
"original","shape","Sphericity","0.5243271351161188","0.38891732771833365","0.3352266880749925","0.36595420621740815","0.3209130552541738","0.40818728584559655","0.25465230099500086","0.5891683709165398","0.3267410510571579","0.25826688090402633","0.4118582838667376","0.5391350829765348","0.6214771544279348","0.6481571628954886","0.4689191540766528","0.492908058232002","0.5387264534944415","0.676027310347771","0.46231199144334834","0.645179257435049","0.41282825847343396"
"original","shape","SurfaceArea","128.63157979681273","477.9319161129937","666.5643735748395","1190.926037280872","511.49457614175304","472.930770385268","847.4916269530248","107.65653700264478","300.99059266941634","1254.8710541195142","104.69582465846537","528.6548539465135","624.3971954655808","470.9082243585065","167.00768465053886","32.09491576649067","73.38661703273867","314.25409960500326","310.6425324232861","72.03334132732112","117.55926712416627"
"original","shape","SurfaceVolumeRatio","2.469726626513153","2.0056596177804087","2.122253498653786","1.3920142357185","2.5865721219553297","1.8751593990273114","2.842739548786264","2.266453680764321","3.2820422922340153","2.287302262404765","3.932238014617129","1.1684057470494658","0.8686762783368404","0.9391556200667718","2.5627780750804328","5.424493452254052","3.1395347927745862","1.079292972182078","1.9195215414300628","2.4179026544682087","3.6978017658188476"
"original","shape","VoxelVolume","64.9999922513964","253.99996972084136","351.99995803833133","879.9998950958284","227.99997282028278","272.9999674558649","338.99995958805204","55.999993324279984","120.99998557567639","578.9999309778234","48.99999415874498","485.999942064287","755.9999098777798","517.9999382495898","79.99999046325712","12.999998450279282","31.999996185302848","305.9999635219585","174.99997913837495","35.999995708465704","43.999994754791416"
"original","firstorder","10Percentile","65.4","67.0","74.0","65.0","67.0","69.0","68.60000000000001","57.0","84.0","67.0","47.6","67.0","64.0","63.0","66.8","58.0","64.1","62.0","60.0","60.0","64.3"
"original","firstorder","90Percentile","84.0","87.70000000000002","87.0","83.10000000000002","87.0","83.0","87.0","76.0","114.0","86.0","92.2","84.5","81.0","78.0","83.0","83.0","79.0","76.0","76.0","72.0","86.7"
"original","firstorder","Energy","365221.0","1536601.0","2352711.0","4852386.0","1373480.0","1549813.0","2034348.0","252865.0","1165575.0","3404858.0","251502.0","2771228.0","4000952.0","2534276.0","460878.0","66346.0","169114.0","1440293.0","817095.0","155896.0","264584.0"
"original","firstorder","Entropy","0.995727452084925","0.9989546369497392","0.5711415369648923","0.96960559949044","0.970435156166173","0.9978211842997318","1.0149595643281877","0.6693248418965545","1.263725117524625","0.9914428587742812","1.5382223094464038","0.9994013290894916","0.9694321413675653","0.7691122576826083","1.0231827166603715","1.2389012566026296","0.8112781244591322","0.5225593745369401","0.5613430716452636","-3.203426503814917e-16","0.9023932827949783"
"original","firstorder","InterquartileRange","10.0","11.0","7.0","8.0","11.0","7.0","9.0","10.0","15.0","10.0","30.0","8.0","11.0","9.0","7.25","7.0","4.5","8.0","7.5","4.75","10.0"
"original","firstorder","Kurtosis","3.737766044025223","2.889566454096266","3.2740757869263293","3.192166713616353","2.8897082759119246","3.883311322220413","3.143178896531533","2.6044205421139344","3.5032855015426643","3.1747764711429567","2.050258484911209","3.4811413115083334","3.2278989330599295","3.1012706730511312","6.619301075297456","2.9584965446683786","3.991294432722372","3.444125564744161","3.2850303558050804","2.300275482093662","3.1650175649495567"
"original","firstorder","Maximum","97.0","102.0","101.0","97.0","97.0","99.0","100.0","83.0","135.0","98.0","109.0","94.0","97.0","88.0","86.0","84.0","85.0","86.0","90.0","74.0","92.0"
"original","firstorder","MeanAbsoluteDeviation","6.362130177514793","6.171957343914688","4.338068181818182","5.4240702479338845","6.24453678054786","4.564022058527553","6.168045874992385","6.031887755102041","9.015777610818933","5.838205947363241","14.96209912536443","5.46779793053227","5.920522941686962","5.204126354705505","5.348750000000001","7.289940828402367","4.3828125","4.445213379469435","4.762971428571428","3.481481481481482","6.764462809917355"
"original","firstorder","Mean","74.50769230769231","77.38976377952756","81.57670454545455","73.92954545454545","77.21929824561404","75.13186813186813","77.06784660766962","66.80357142857143","97.44628099173553","76.33160621761658","69.42857142857143","75.18930041152264","72.35978835978835","69.64478764478764","75.55","70.76923076923077","72.4375","68.38235294117646","68.07428571428571","65.66666666666667","77.04545454545455"
"original","firstorder","Median","74.0","77.0","82.0","73.0","77.0","74.0","77.0","67.0","95.0","76.0","66.0","76.0","72.0","69.0","77.5","70.0","73.0","69.0","67.0","65.0","79.0"
"original","firstorder","Minimum","51.0","57.0","65.0","55.0","53.0","62.0","58.0","48.0","70.0","50.0","36.0","51.0","45.0","48.0","46.0","49.0","55.0","53.0","56.0","58.0","53.0"
"original","firstorder","Range","46.0","45.0","36.0","42.0","44.0","37.0","42.0","35.0","65.0","48.0","73.0","43.0","52.0","40.0","40.0","35.0","30.0","33.0","34.0","16.0","39.0"
"original","firstorder","RobustMeanAbsoluteDeviation","4.275147928994083","4.402629842586483","3.1709869374169366","3.7159888892356663","4.496936061972483","3.298457201033753","4.198583477508651","4.5765595463138","6.102457309454393","4.343113982012826","11.631821170282707","3.7092307692307696","4.188237160420385","3.7481331275169314","3.23145466696369","4.719999999999999","2.3616","3.38515809105235","3.471064814814815","2.7762747138397508","4.271626297577855"
"original","firstorder","RootMeanSquared","74.95855265001197","77.77924039369678","81.75474339866659","74.25681786879909","77.61465768602795","75.34567469981735","77.46629298393313","67.19707157734948","98.14708981762742","76.68496440054115","71.64282153538497","75.51235148197577","72.74795220667417","69.94586985966156","75.90108694873875","71.43905417583902","72.69671588180583","68.60641274167486","68.33091749504236","65.80611251581759","77.54529468170668"
"original","firstorder","Skewness","-0.15999266725201686","0.0806214139677235","-0.11445868794446531","0.2741348242714084","0.01525033573982246","0.6781379836098349","0.4541893147681796","-0.15719179101180014","0.4622771082905063","0.05186213565884605","0.21764992696078397","-0.3573218684692202","-0.15545028548715567","0.28392781771334996","-1.6799040006385897","-0.6213592248956643","-0.5642894984327448","0.3450071629387203","0.374551939591084","0.27648507956281626","-0.8461898738754662"
"original","firstorder","TotalEnergy","365220.95646226534","1536600.8168228918","2352710.7195350016","4852385.42155053","1373479.8362684299","1549812.815247899","2034347.7574868274","252864.9698561439","1165574.8610526365","3404857.594109309","251501.97001862616","2771227.6696438887","4000951.523049369","2534275.6978907674","460877.9450590627","66345.99209094071","169113.97984004082","1440292.8283036998","817094.9025946885","155895.98141574915","264583.96845913026"
"original","firstorder","Uniformity","0.5029585798816568","0.5195300390600781","0.7762945506198348","0.5209194214876033","0.5203524161280394","0.5015094795314575","0.5047380374344115","0.7506377551020408","0.4804999658493272","0.5059196220032752","0.38775510204081637","0.5004149096513065","0.5395600627082109","0.6602391139070676","0.5290625","0.47928994082840237","0.625","0.7923875432525951","0.7716897959183673","1.0","0.5661157024793388"
"original","firstorder","Variance","67.38840236686391","60.43469836939674","29.07934368543388","48.49730888429753","61.21506617420744","32.173086986273795","61.57356792927315","52.72927295918368","137.0735605491428","54.06965735098035","312.3673469387755","48.68432996325087","56.32557879118725","42.02826433714464","53.1725","95.25443786982248","37.62109375","30.693675509419453","35.00591020408164","18.33333333333334","77.27066115702479"
"original","glcm","Autocorrelation","2.1013428165078833","2.5317333533559254","3.5748322870379408","1.923885876532272","2.728948733398563","2.1009088144175676","2.3409752189226323","4.381032168769726","5.876820853304681","2.4782851025368187","3.976488095238095","2.265462435528082","5.478964316293844","4.879525881394227","7.016940749503771","4.566666666666666","1.7440619209849981","1.2256218324287032","1.2723385700714294","1.0","3.265583755171856"
