,feature,N_G1,N_G2,N,p-value
102,rh_212_41,5,28,33,0.03712406858898751
103,rh_226_43,5,28,33,0.03282096496701996
104,rh_7003_62,5,28,33,0.020492455634263593
105,rh_7003_124,5,28,33,0.010975982130911548
106,rh_7003_125,5,28,33,0.041369592017907554
107,rh_7003_126,5,28,33,0.04174593071268946
108,rh_7005_55,5,28,33,0.00450963185355139
109,rh_7005_58,5,28,33,0.04460231269122652
110,rh_7005_63,5,28,33,0.027159039385390885
111,rh_7006_40,5,27,32,0.04570069409707123
112,rh_7007_65,5,28,33,0.027159039385390816
113,rh_7008_121,5,28,33,0.03496141080629032
114,rh_7009_41,5,28,33,0.025400072770159075
115,rh_7015_42,5,28,33,0.04728056117787412
116,rh_7015_56,5,28,33,0.01828216348686114
117,rh_7015_124,5,28,33,0.03933136065351949
118,rh_7015_125,5,28,33,0.039331360653520116
119,rh_7015_126,5,28,33,0.0092997182770291
120,rh_7015_130,5,28,33,0.0092997182770291
121,Th_8103_37,5,28,33,0.04460231269122652
122,Th_8104_65,5,28,33,0.030849025378807383
123,Th_8105_43,5,28,33,0.00492383207909315
124,Th_8108_45,5,28,33,0.030849025378807727
125,Th_8108_48,5,28,33,0.027159039385390816
126,Th_8108_50,5,28,33,0.020886509075665964
127,Th_8108_53,5,28,33,0.020907891000253108
128,Th_8108_66,5,28,33,0.020907891000253108
129,Th_8108_93,5,28,33,0.020907891000253108
130,Th_8108_95,5,28,33,0.02544914776265069
131,Th_8108_96,5,28,33,0.015949768817143262
132,Th_8108_100,5,28,33,0.020907891000253108
133,Th_8108_101,5,28,33,0.039533011345084336
134,Th_8108_106,5,28,33,0.039533011345084336
135,Th_8108_111,5,28,33,0.03496141080629032
136,Th_8108_116,5,28,33,0.039533011345084336
137,Th_8108_119,5,28,33,0.03496141080629032
138,Th_8109_41,5,28,33,0.012006545937767121
139,Th_8110_44,5,28,33,0.037171595739963086
140,Th_8110_65,5,28,33,0.013883152779274939
141,Th_8111_40,5,28,33,0.04460231269122652
142,Th_8111_44,5,28,33,0.003586598719666747
143,Th_8111_46,5,28,33,0.018282163486860972
144,Th_8111_107,5,28,33,0.04460231269122652
145,Th_8112_39,5,28,33,0.027159039385390885
146,Th_8112_74,5,28,33,0.039533011345084336
147,Th_8112_103,5,28,33,0.03496141080629032
148,Th_8112_114,5,28,33,0.039533011345084336
149,Th_8112_122,5,28,33,0.027159039385390816
150,Th_8113_38,5,28,33,0.03496141080629032
151,Th_8113_55,5,28,33,0.04135090296138267
152,Th_8113_61,5,28,33,0.04447761910757499
153,Th_8113_69,5,28,33,0.027159039385390885
154,Th_8113_85,5,28,33,0.018282163486860972
155,Th_8113_90,5,28,33,0.018282163486860972
156,Th_8113_99,5,28,33,0.03496141080629032
157,Th_8113_101,5,28,33,0.04460231269122652
158,Th_8113_102,5,28,33,0.01828216348686114
159,Th_8113_103,5,28,33,0.01828216348686114
160,Th_8113_110,5,28,33,0.030849025378807383
161,Th_8113_113,5,28,33,0.015949768817143262
162,Th_8113_114,5,28,33,0.01828216348686114
163,Th_8113_121,5,28,33,0.018282163486860972
164,Th_8113_126,5,28,33,0.039533011345084336
165,Th_8113_129,5,28,33,0.01828216348686114
166,Th_8115_38,5,28,33,0.015949768817143262
167,Th_8115_39,5,28,33,0.020907891000253108
168,Th_8115_41,5,28,33,0.036949939717620645
169,Th_8115_56,5,28,33,0.027159039385390816
170,Th_8115_129,5,28,33,0.020907891000253427
171,Th_8115_131,5,28,33,0.020366962910728613
172,Th_8115_133,5,28,33,0.039533011345084336
173,Th_8115_134,5,28,33,0.015949768817143262
174,Th_8120_82,5,28,33,0.03946705908355185
175,Th_8120_83,5,28,33,0.034900563235772966
176,Th_8121_58,5,28,33,0.039533011345084336
177,Th_8121_68,5,28,33,0.04460231269122652
178,Th_8121_124,5,28,33,0.027094898785561837
